OID_,Value,Count,DEPTOS,ETA,RICE,SORG,MAIZ,LC2018,CLCROP,RISOMA
,1,2453.000000000000000,1,10,0,0,19,1,No Cultivos,0.001900000000000
,2,171.000000000000000,1,10,0,0,19,24,Pastos/Cultivos,0.001900000000000
,3,2.000000000000000,1,100,0,0,19,1,No Cultivos,0.001900000000000
,4,1.000000000000000,1,100,0,0,19,24,Pastos/Cultivos,0.001900000000000
,5,949.000000000000000,1,10,0,0,21,1,No Cultivos,0.002100000000000
,6,262.000000000000000,1,10,0,0,21,24,Pastos/Cultivos,0.002100000000000
,7,30.000000000000000,1,100,0,0,21,1,No Cultivos,0.002100000000000
,8,2298.000000000000000,2,10,0,2,93,1,No Cultivos,0.009500000000000
,9,122.000000000000000,2,100,0,2,93,1,No Cultivos,0.009500000000000
,10,1364.000000000000000,2,10,0,2,93,24,Pastos/Cultivos,0.009500000000000
,11,38.000000000000000,2,100,0,2,93,24,Pastos/Cultivos,0.009500000000000
,12,1686.000000000000000,2,10,1,3,125,1,No Cultivos,0.012900000000000
,13,959.000000000000000,2,10,1,3,125,24,Pastos/Cultivos,0.012900000000000
,14,215.000000000000000,2,100,1,3,125,1,No Cultivos,0.012900000000000
,15,67.000000000000000,2,100,1,4,140,1,No Cultivos,0.014500000000000
,16,1872.000000000000000,2,10,1,4,140,1,No Cultivos,0.014500000000000
,17,3494.000000000000000,2,10,1,4,140,24,Pastos/Cultivos,0.014500000000000
,18,55.000000000000000,2,100,1,4,140,24,Pastos/Cultivos,0.014500000000000
,19,429.000000000000000,2,10,1,4,140,17,Palma Africana,0.014500000000000
,20,223.000000000000000,2,100,1,3,125,24,Pastos/Cultivos,0.012900000000000
,21,21716.000000000000000,2,10,0,0,0,1,No Cultivos,0.000000000000000
,22,2560.000000000000000,2,10,0,0,0,24,Pastos/Cultivos,0.000000000000000
,23,425803.000000000000000,3,10,0,0,0,1,No Cultivos,0.000000000000000
,24,3603.000000000000000,2,10,1,3,125,17,Palma Africana,0.012900000000000
,25,32850.000000000000000,3,100,0,0,0,1,No Cultivos,0.000000000000000
,26,65.000000000000000,2,100,1,3,125,17,Palma Africana,0.012900000000000
,27,23013.000000000000000,3,10,0,0,0,24,Pastos/Cultivos,0.000000000000000
,28,380.000000000000000,2,10,1,4,140,23,Agricultura Tecnificada,0.014500000000000
,29,676.000000000000000,2,10,0,2,93,17,Palma Africana,0.009500000000000
,30,1004.000000000000000,2,10,0,3,110,1,No Cultivos,0.011300000000000
,31,30.000000000000000,2,100,0,0,0,24,Pastos/Cultivos,0.000000000000000
,32,392.000000000000000,2,100,0,3,110,1,No Cultivos,0.011300000000000
,33,141.000000000000000,2,100,0,0,0,1,No Cultivos,0.000000000000000
,34,1.000000000000000,2,100,0,2,93,17,Palma Africana,0.009500000000000
,35,1449.000000000000000,2,10,0,3,110,24,Pastos/Cultivos,0.011300000000000
,36,353.000000000000000,3,10,0,0,0,17,Palma Africana,0.000000000000000
,37,532.000000000000000,2,100,0,3,110,24,Pastos/Cultivos,0.011300000000000
,38,427.000000000000000,2,10,0,3,110,17,Palma Africana,0.011300000000000
,39,65.000000000000000,2,100,0,3,110,17,Palma Africana,0.011300000000000
,40,398.000000000000000,3,100,0,0,0,24,Pastos/Cultivos,0.000000000000000
,41,37.000000000000000,2,10,0,2,93,23,Agricultura Tecnificada,0.009500000000000
,42,3.000000000000000,2,100,0,2,93,23,Agricultura Tecnificada,0.009500000000000
,43,5375.000000000000000,2,10,2,6,201,24,Pastos/Cultivos,0.020900000000000
,44,46.000000000000000,2,100,2,6,201,24,Pastos/Cultivos,0.020900000000000
,45,1884.000000000000000,2,10,2,6,201,1,No Cultivos,0.020900000000000
,46,110.000000000000000,2,100,2,6,201,1,No Cultivos,0.020900000000000
,47,7876.000000000000000,2,10,0,2,108,24,Pastos/Cultivos,0.011000000000000
,48,7454.000000000000000,2,10,0,2,108,1,No Cultivos,0.011000000000000
,49,774.000000000000000,2,10,2,6,201,17,Palma Africana,0.020900000000000
,50,6.000000000000000,2,10,1,3,125,23,Agricultura Tecnificada,0.012900000000000
,51,35.000000000000000,2,100,0,3,110,23,Agricultura Tecnificada,0.011300000000000
,52,897.000000000000000,2,10,0,2,108,17,Palma Africana,0.011000000000000
,53,6.000000000000000,2,100,1,3,125,23,Agricultura Tecnificada,0.012900000000000
,54,3.000000000000000,2,10,0,3,110,23,Agricultura Tecnificada,0.011300000000000
,55,51.000000000000000,2,10,0,1,86,17,Palma Africana,0.008700000000000
,56,351.000000000000000,2,100,3,10,263,23,Agricultura Tecnificada,0.027600000000000
,57,513.000000000000000,2,100,2,10,248,23,Agricultura Tecnificada,0.026000000000000
,58,3837.000000000000000,2,10,2,10,248,17,Palma Africana,0.026000000000000
,59,364.000000000000000,2,10,2,10,248,23,Agricultura Tecnificada,0.026000000000000
,60,871.000000000000000,2,100,2,10,248,24,Pastos/Cultivos,0.026000000000000
,61,1724.000000000000000,2,10,2,10,248,24,Pastos/Cultivos,0.026000000000000
,62,504.000000000000000,2,10,2,10,248,1,No Cultivos,0.026000000000000
,63,129.000000000000000,2,100,2,10,248,1,No Cultivos,0.026000000000000
,64,904.000000000000000,2,100,0,3,117,24,Pastos/Cultivos,0.012000000000000
,65,1127.000000000000000,2,10,0,3,117,24,Pastos/Cultivos,0.012000000000000
,66,2387.000000000000000,2,10,0,3,117,1,No Cultivos,0.012000000000000
,67,1233.000000000000000,2,100,0,3,117,1,No Cultivos,0.012000000000000
,68,51.000000000000000,2,100,0,2,108,24,Pastos/Cultivos,0.011000000000000
,69,6139.000000000000000,2,10,0,1,88,1,No Cultivos,0.008900000000000
,70,3842.000000000000000,2,10,1,3,129,1,No Cultivos,0.013300000000000
,71,2712.000000000000000,2,10,1,3,129,24,Pastos/Cultivos,0.013300000000000
,72,1665.000000000000000,2,10,1,3,129,17,Palma Africana,0.013300000000000
,73,4144.000000000000000,2,10,3,10,263,17,Palma Africana,0.027600000000000
,74,550.000000000000000,2,10,3,10,263,1,No Cultivos,0.027600000000000
,75,171.000000000000000,2,100,3,10,263,1,No Cultivos,0.027600000000000
,76,2149.000000000000000,2,10,3,10,263,24,Pastos/Cultivos,0.027600000000000
,77,477.000000000000000,2,100,3,10,263,24,Pastos/Cultivos,0.027600000000000
,78,204.000000000000000,2,10,3,10,263,23,Agricultura Tecnificada,0.027600000000000
,79,3.000000000000000,2,100,0,1,86,17,Palma Africana,0.008700000000000
,80,1973.000000000000000,2,10,0,1,86,24,Pastos/Cultivos,0.008700000000000
,81,4014.000000000000000,2,10,0,1,86,1,No Cultivos,0.008700000000000
,82,126.000000000000000,2,100,0,2,108,1,No Cultivos,0.011000000000000
,83,1647.000000000000000,2,10,0,1,88,24,Pastos/Cultivos,0.008900000000000
,84,454.000000000000000,5,10,0,1,74,1,No Cultivos,0.007500000000000
,85,123.000000000000000,4,100,0,1,74,1,No Cultivos,0.007500000000000
,86,6163.000000000000000,4,10,0,1,74,24,Pastos/Cultivos,0.007500000000000
,87,15812.000000000000000,4,10,0,1,74,1,No Cultivos,0.007500000000000
,88,417.000000000000000,4,10,0,1,74,17,Palma Africana,0.007500000000000
,89,45.000000000000000,2,100,0,1,88,24,Pastos/Cultivos,0.008900000000000
,90,223.000000000000000,5,10,0,1,74,24,Pastos/Cultivos,0.007500000000000
,91,121.000000000000000,4,100,0,1,74,24,Pastos/Cultivos,0.007500000000000
,92,3839.000000000000000,4,10,0,1,18,1,No Cultivos,0.001900000000000
,93,143.000000000000000,2,100,3,10,263,17,Palma Africana,0.027600000000000
,94,23.000000000000000,5,100,0,1,74,1,No Cultivos,0.007500000000000
,95,29.000000000000000,5,100,0,1,74,24,Pastos/Cultivos,0.007500000000000
,96,306.000000000000000,2,100,2,10,248,17,Palma Africana,0.026000000000000
,97,7.000000000000000,4,100,0,1,74,17,Palma Africana,0.007500000000000
,98,1760.000000000000000,2,10,0,3,117,17,Palma Africana,0.012000000000000
,99,14005.000000000000000,2,10,0,1,83,1,No Cultivos,0.008400000000000
,100,166.000000000000000,2,100,0,1,83,1,No Cultivos,0.008400000000000
,101,3430.000000000000000,2,10,0,2,91,1,No Cultivos,0.009300000000000
,102,2842.000000000000000,2,10,0,2,91,24,Pastos/Cultivos,0.009300000000000
,103,44.000000000000000,2,100,0,2,91,1,No Cultivos,0.009300000000000
,104,3701.000000000000000,5,10,1,0,181,1,No Cultivos,0.018200000000000
,105,1071.000000000000000,5,10,1,0,181,24,Pastos/Cultivos,0.018200000000000
,106,13.000000000000000,4,100,0,1,18,1,No Cultivos,0.001900000000000
,107,12166.000000000000000,2,10,0,1,83,24,Pastos/Cultivos,0.008400000000000
,108,126.000000000000000,2,100,0,1,86,1,No Cultivos,0.008700000000000
,109,192.000000000000000,2,100,0,3,117,17,Palma Africana,0.012000000000000
,110,178.000000000000000,2,100,0,1,83,24,Pastos/Cultivos,0.008400000000000
,111,6186.000000000000000,2,10,0,2,100,1,No Cultivos,0.010200000000000
,112,3140.000000000000000,5,10,0,0,155,1,No Cultivos,0.015500000000000
,113,125.000000000000000,5,100,1,0,181,24,Pastos/Cultivos,0.018200000000000
,114,6031.000000000000000,2,10,0,2,100,24,Pastos/Cultivos,0.010200000000000
,115,562.000000000000000,2,100,0,2,100,1,No Cultivos,0.010200000000000
,116,585.000000000000000,5,10,0,0,155,24,Pastos/Cultivos,0.015500000000000
,117,212.000000000000000,5,100,1,0,181,1,No Cultivos,0.018200000000000
,118,106.000000000000000,4,10,0,1,18,24,Pastos/Cultivos,0.001900000000000
,119,204.000000000000000,2,100,0,2,100,24,Pastos/Cultivos,0.010200000000000
,120,27.000000000000000,5,100,0,0,155,1,No Cultivos,0.015500000000000
,121,240.000000000000000,5,10,1,0,181,17,Palma Africana,0.018200000000000
,122,637.000000000000000,2,10,0,1,83,17,Palma Africana,0.008400000000000
,123,2647.000000000000000,2,10,0,1,47,1,No Cultivos,0.004800000000000
,124,1141.000000000000000,2,10,0,1,47,24,Pastos/Cultivos,0.004800000000000
,125,20.000000000000000,2,10,0,0,0,17,Palma Africana,0.000000000000000
,126,3066.000000000000000,2,10,0,1,24,1,No Cultivos,0.002500000000000
,127,291.000000000000000,2,10,0,1,24,24,Pastos/Cultivos,0.002500000000000
,128,143.000000000000000,2,100,0,2,91,24,Pastos/Cultivos,0.009300000000000
,129,21.000000000000000,2,100,0,1,86,24,Pastos/Cultivos,0.008700000000000
,130,293.000000000000000,5,10,0,0,155,17,Palma Africana,0.015500000000000
,131,5.000000000000000,5,100,1,0,181,17,Palma Africana,0.018200000000000
